projection,scheme,rel_fro_err,bits_per_weight,compression_ratio
down,int4_per_tensor,0.8191644552410903,4.0,4.0
down,int4_per_channel,0.13842925766461003,4.0,4.0
down,spherical_r512_nb128_cb1_cos,0.10251565518286865,6.8125,2.3486238532110093
down,int8_per_tensor,0.05043895879847163,8.0,2.0
down,int8_per_channel,0.008253133139484465,8.0,2.0
down,fp8_e4m3,0.05545634696567873,8.0,2.0
down,fp8_e5m2,0.05343413107310164,8.0,2.0
gate,spherical_r512_nb128_cb1_cos,0.5378399959899953,2.8125,5.688888888888889
gate,int4_per_tensor,0.8065752639361287,4.0,4.0
gate,int4_per_channel,0.15895160716036008,4.0,4.0
gate,int8_per_tensor,0.049199274535836154,8.0,2.0
gate,int8_per_channel,0.009153075158905816,8.0,2.0
gate,fp8_e4m3,0.05343104458387133,8.0,2.0
gate,fp8_e5m2,0.053371576920922224,8.0,2.0
up,spherical_r512_nb128_cb1_cos,0.539885316116627,2.8125,5.688888888888889
up,int4_per_tensor,0.5551424708842687,4.0,4.0
up,int4_per_channel,0.1578880533242497,4.0,4.0
up,int8_per_tensor,0.031220109349534113,8.0,2.0
up,int8_per_channel,0.009148231757122248,8.0,2.0
up,fp8_e4m3,0.055194579316805485,8.0,2.0
up,fp8_e5m2,0.05343352592252278,8.0,2.0
